track_name,model_name,uncertainty_bin,n,mean_uncertainty,mean_abs_error
PARM_GSE301246_Task_C_stress_test,T05_uncertainty_ensemble_proxy,"(6596.0, 13191.0]",6595,0.0177623691701585,0.0737424261312434
PARM_GSE301246_Task_C_stress_test,T05_uncertainty_ensemble_proxy,"(13191.0, 19786.0]",6595,0.0214341267022115,0.0809646468625693
PARM_GSE301246_Task_C_stress_test,T05_uncertainty_ensemble_proxy,"(19786.0, 26381.0]",6595,0.026197190828012,0.0921529095005946
PARM_GSE301246_Task_C_stress_test,T05_uncertainty_ensemble_proxy,"(26381.0, 32976.0]",6595,0.0391802146933505,0.1524310473463093
Random_Promoter_DREAM_base_track,T05_uncertainty_ensemble_proxy,"(0.999, 17913.2]",17913,0.1580556429359156,6.115868040930238
Random_Promoter_DREAM_base_track,T05_uncertainty_ensemble_proxy,"(17913.2, 35825.4]",17912,0.2106978391822749,5.04998863418108
Random_Promoter_DREAM_base_track,T05_uncertainty_ensemble_proxy,"(35825.4, 53737.6]",17912,0.2519632314174402,4.409196540161197
Random_Promoter_DREAM_base_track,T05_uncertainty_ensemble_proxy,"(53737.6, 71649.8]",17912,0.3019524991649679,3.789654951074799
Random_Promoter_DREAM_base_track,T05_uncertainty_ensemble_proxy,"(71649.8, 89562.0]",17913,0.4328024378970194,3.376043698482248
Random_Promoter_DREAM_base_track_10,T05_uncertainty_ensemble_proxy,"(0.999, 4000.8]",4000,0.1481997076141498,1.577527312789513
Random_Promoter_DREAM_base_track_10,T05_uncertainty_ensemble_proxy,"(4000.8, 8000.6]",4000,0.1946848083599222,1.5647525181965969
Random_Promoter_DREAM_base_track_10,T05_uncertainty_ensemble_proxy,"(8000.6, 12000.4]",4000,0.2301051642341761,1.571163884635669
Random_Promoter_DREAM_base_track_10,T05_uncertainty_ensemble_proxy,"(12000.4, 16000.2]",4000,0.273269076267648,1.5357541356824735
Random_Promoter_DREAM_base_track_10,T05_uncertainty_ensemble_proxy,"(16000.2, 20000.0]",4000,0.3849112246196534,1.48845842194155
Random_Promoter_DREAM_base_track_11,T05_uncertainty_ensemble_proxy,"(0.999, 800.8]",800,0.3536894155019348,1.614811272860297
Random_Promoter_DREAM_base_track_11,T05_uncertainty_ensemble_proxy,"(800.8, 1600.6]",800,0.463291328496953,1.671406074210796
Random_Promoter_DREAM_base_track_11,T05_uncertainty_ensemble_proxy,"(1600.6, 2400.4]",800,0.5501691978085759,1.7149707748807097
Random_Promoter_DREAM_base_track_11,T05_uncertainty_ensemble_proxy,"(2400.4, 3200.2]",800,0.661634495277084,1.6915361074689894
Random_Promoter_DREAM_base_track_11,T05_uncertainty_ensemble_proxy,"(3200.2, 4000.0]",800,0.9948280852490088,1.7518488227121924
Random_Promoter_DREAM_base_track_12,T05_uncertainty_ensemble_proxy,"(0.999, 800.8]",800,0.3476634468863659,1.6858332309498711
Random_Promoter_DREAM_base_track_12,T05_uncertainty_ensemble_proxy,"(800.8, 1600.6]",800,0.4600091668316672,1.6698419455410736
Random_Promoter_DREAM_base_track_12,T05_uncertainty_ensemble_proxy,"(1600.6, 2400.4]",800,0.5470931142587868,1.5437234368498838
Random_Promoter_DREAM_base_track_12,T05_uncertainty_ensemble_proxy,"(2400.4, 3200.2]",800,0.6574431462425467,1.654488614055552
Random_Promoter_DREAM_base_track_12,T05_uncertainty_ensemble_proxy,"(3200.2, 4000.0]",800,1.014976505279832,1.6840321044870488
Random_Promoter_DREAM_base_track_13,T05_uncertainty_ensemble_proxy,"(0.999, 800.8]",800,0.066332432214939,0.226578722072433
Random_Promoter_DREAM_base_track_13,T05_uncertainty_ensemble_proxy,"(800.8, 1600.6]",800,0.0978899622980656,0.3168131935933186
