track_name,source_role,evidence_level,model_id,status,r2,rmse,mae,spearman,n_train,n,split_method,n_features,bootstrap_status,n_bootstrap_input,bootstrap_repeats_requested,valid_bootstraps,r2_recomputed_from_predictions,r2_bootstrap_mean,r2_ci95_lower,r2_ci95_upper,r2_bootstrap_sd
Random_Promoter_DREAM_base_track_17,base-track structured reference,headline_base_reference,T02_selection_potential_proxy,ok,0.2304844127903973,2.0792260961963804,1.6087813519791463,0.4918534674119701,16000,4000,random_split,519,ok,4000,1000,1000,0.23048441279039733,0.23060100876540054,0.20479004546515217,0.25644223561424806,0.013405554242654468
GSE221384_context_track,external/context sequence-target branch,exploratory_extra,T04_observable_alignment_proxy,ok,0.2117140378824361,1.609996750848716,1.326798064371269,0.5395900749778885,112500,37500,group_shuffle_by_condition,2722,ok,37500,1000,1000,0.21171403788243603,0.21199302476243695,0.2015783554810919,0.22223505624248913,0.005405677126528253
PARM_GSE301246_held_out_context_track_4,held-out/context transfer branch,headline_transfer_evidence,M08_dynamic_condition_weighted_char6,ok,0.1521294349282176,102.81180221871176,67.07527625454068,0.2969696969696969,40,10,random_split,261,ok,10,1000,1000,0.15212943492821762,-0.90873452996338,-7.843891105661593,0.22264742681025473,3.379150236852597
PARM_GSE301246_held_out_context_track_2,held-out/context transfer branch,headline_transfer_evidence,M03_GC_length_multi_char6,ok,0.145641794700057,116.54328796478576,63.96911116422266,0.4051939258309288,112500,37500,group_shuffle_by_condition,1029,ok,37500,1000,1000,0.145641794700057,0.14347050266786365,0.10537836184337954,0.18187247867578066,0.019135445136124776
PARM_GSE301246_held_out_context_track_3,held-out/context transfer branch,headline_transfer_evidence,M03_GC_length_multi_char6,ok,0.142208150345333,219.26877502120715,146.30192556490076,0.4303030303030302,40,10,random_split,1029,ok,10,1000,1000,0.14220815034533307,-0.14718969381632266,-1.942369114105866,0.28411682480661427,0.7029094469931421
PARM_GSE301246_held_out_context_track_7,held-out/context transfer branch,headline_transfer_evidence,M06_GC_length_condition_gated_char6,ok,0.0594498016575664,13344.944910453003,11271.332305820988,0.1272727272727272,40,10,random_split,646,ok,10,1000,1000,0.059449801657566415,-0.10280068202926236,-1.019817605382605,0.19387611688991682,0.3890265712662356
PARM_GSE301246_held_out_context_track_TaskB,held-out/context transfer branch,headline_transfer_evidence,T01_mutational_prior_proxy,ok,0.0138868353099598,0.6525932461357723,0.5098057222025701,0.1447511620024098,529,133,random_split,7,ok,133,1000,1000,0.013886835309959822,0.0060090439049858835,-0.03739548662116947,0.0457463537248887,0.02083291089786311
PARM_GSE301246_Task_C_stress_test,boundary/stress-test branch,stress_test_boundary,M06_GC_length_condition_gated_char6,ok,-0.0388875635281249,0.1536321773004771,0.0772293180340149,0.0064099328980683,115416,32976,group_shuffle_by_condition,1420,ok,32976,1000,1000,-0.03888756352812495,-0.03926551799471177,-0.050839905791196356,-0.026868639978034153,0.006196182511167185
PARM_GSE301246_held_out_context_track_6,held-out/context transfer branch,headline_transfer_evidence,M03_GC_length_multi_char6,ok,-0.1360090119623944,32.250339703517696,27.223892077418647,0.1341488353302029,40,10,random_split,1029,ok,10,1000,1000,-0.13600901196239445,-0.9782294404115569,-8.05159517667394,0.1780351253608538,4.015704340534985
Random_Promoter_DREAM_base_track,base-track structured reference,headline_base_reference,M03_GC_length_multi_char6,ok,-0.3421549942831152,6.385826226084235,4.538658898018887,0.3401945230001485,60438,89562,provided_split_col,1029,ok,89562,1000,1000,-0.34215499428311547,-0.34224578347817003,-0.35029316963751006,-0.3337292150562008,0.004283041498902534
extra_test_maude_shift_predictions_v0,extra empirical sequence-target branch,exploratory_extra,M09_dynamic_condition_weighted_multi_char6,ok,-12.164092131389452,7.585458968795539,7.4293832650539935,0.8594804448146012,60000,20000,group_shuffle_by_condition,2181,ok,20000,1000,1000,-12.164092131389452,-12.167268536331102,-12.409576961295917,-11.920134132723751,0.1310972911857043
extra_test_inregime_predictions_v0,extra empirical sequence-target branch,exploratory_extra,M09_dynamic_condition_weighted_multi_char6,ok,-20.82777179096411,7.007647369177582,6.893101972183899,0.6479943276069032,60000,20000,group_shuffle_by_condition,2181,ok,20000,1000,1000,-20.82777179096411,-20.823745037462235,-21.272292842751174,-20.383860363754906,0.22215971414454383
extra_val_inregime_predictions_v0,extra empirical sequence-target branch,exploratory_extra,M09_dynamic_condition_weighted_multi_char6,ok,-20.89873013064813,6.95651664901361,6.847012696474755,0.6714362297591999,60000,20000,group_shuffle_by_condition,2181,ok,20000,1000,1000,-20.89873013064813,-20.905031711136676,-21.401356041875353,-20.471667510756962,0.2396508908403849
