track_a,track_b,seq_overlap_count,seq_jaccard,seq_overlap_fraction_of_smaller_track,id_overlap_count,id_overlap_fraction_of_smaller_track,target_corr_on_overlapping_sequences,n_overlap_for_target_corr,best_metric_signature_identical,leakage_or_duplication_risk,best_model_a,best_model_b,best_r2_a,best_r2_b
Random_Promoter_DREAM_base_track_15,Random_Promoter_DREAM_base_track_16,50775,0.2558153595018213,0.50775,100000,1.0,1.0,50000,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.2794283772363876,0.2796569209540137
GSE221384_context_track,PARM_GSE301246_held_out_context_track,162,0.0126197709745267,0.324,6000,1.0,0.7380065012057954,162,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T05_uncertainty_ensemble_proxy,0.2117140378824361,0.3955993351255749
PARM_GSE301246_held_out_context_track,PARM_GSE301246_held_out_context_track_2,162,0.0126197709745267,0.324,6000,1.0,1.0,162,False,duplicate_or_near_duplicate,T05_uncertainty_ensemble_proxy,M03_GC_length_multi_char6,0.3955993351255749,0.145641794700057
Random_Promoter_DREAM_base_track_4,Random_Promoter_DREAM_base_track_11,4446,0.0268554481042324,0.2223,20000,1.0,1.0,4446,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T02_selection_potential_proxy,0.284423689686203,0.2304844127903973
Random_Promoter_DREAM_base_track_4,Random_Promoter_DREAM_base_track_17,4446,0.0268554481042324,0.2223,20000,1.0,1.0,4446,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T02_selection_potential_proxy,0.284423689686203,0.2304844127903973
Random_Promoter_DREAM_base_track_4,Random_Promoter_DREAM_base_track_20,4446,0.0268554481042324,0.2223,20000,1.0,1.0,4446,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T02_selection_potential_proxy,0.284423689686203,0.2304844127903973
Random_Promoter_DREAM_base_track_6,Random_Promoter_DREAM_base_track_8,497,0.0029321187950584,0.02485,20000,1.0,0.9999999999999998,497,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T02_selection_potential_proxy,0.2807902429077594,0.2733663743201212
Random_Promoter_DREAM_base_track_6,Random_Promoter_DREAM_base_track_12,497,0.0029321187950584,0.02485,20000,1.0,1.0,497,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T02_selection_potential_proxy,0.2807902429077594,0.2445400023666976
Random_Promoter_DREAM_base_track_6,Random_Promoter_DREAM_base_track_10,2477,0.010007191279967,0.02477,100000,1.0,0.9999999999999998,2477,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.2807902429077594,0.2762271545149858
Random_Promoter_DREAM_base_track_6,Random_Promoter_DREAM_base_track_14,2477,0.010007191279967,0.02477,100000,1.0,1.0,2477,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.2807902429077594,0.2739614602244904
Random_Promoter_DREAM_base_track_6,Random_Promoter_DREAM_base_track_19,2477,0.010007191279967,0.02477,100000,1.0,1.0,2477,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.2807902429077594,0.2739614602244904
Random_Promoter_DREAM_base_track_6,Random_Promoter_DREAM_base_track_16,3559,0.012035928548722,0.0238446180439239,149258,1.0,0.9999999999999998,3559,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.2807902429077594,0.2796569209540137
Random_Promoter_DREAM_base_track_6,Random_Promoter_DREAM_base_track_7,3473,0.0117123345417755,0.0231534876899179,149999,1.0,1.0,3473,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T04_observable_alignment_proxy,0.2807902429077594,0.2876585702977691
Random_Promoter_DREAM_base_track_7,Random_Promoter_DREAM_base_track_11,457,0.0026954972809097,0.02285,20000,1.0,1.0,457,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T02_selection_potential_proxy,0.2876585702977691,0.2304844127903973
Random_Promoter_DREAM_base_track_7,Random_Promoter_DREAM_base_track_17,457,0.0026954972809097,0.02285,20000,1.0,1.0,457,False,duplicate_or_near_duplicate,T04_observable_alignment_proxy,T02_selection_potential_proxy,0.2876585702977691,0.2304844127903973
