track_name,analysis_level,model_id,r2,rmse,mae,n_test,source_table,claim_level,source_role,interpretation_note,display_level
PARM_GSE301246_Task_C_stress_test,03_grammar_ladder_candidate,M07_GC_length_condition_gated_multi_char6,-0.0415946833937972,0.1538322134492428,0.0797860976373642,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,03_grammar_ladder_best
PARM_GSE301246_Task_C_stress_test,03_grammar_ladder_candidate,M08_dynamic_condition_weighted_char6,-0.0500121865665343,0.1544525495446718,0.0845295954951965,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,03_grammar_ladder_best
PARM_GSE301246_Task_C_stress_test,03_grammar_ladder_candidate,M09_dynamic_condition_weighted_multi_char6,-0.1497789133143778,0.1616237137138979,0.1008474996474934,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,03_grammar_ladder_best
PARM_GSE301246_Task_C_stress_test,04_grammar_plus_P01_P05_candidate,T01_mutational_prior_proxy,-0.1454526402705984,0.1613193563740973,0.1025268334972342,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,04_grammar_plus_P01_P05_best
PARM_GSE301246_Task_C_stress_test,04_grammar_plus_P01_P05_candidate,T02_selection_potential_proxy,-0.1780682724400268,0.1635999406167466,0.1020168660542156,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,04_grammar_plus_P01_P05_best
PARM_GSE301246_Task_C_stress_test,04_grammar_plus_P01_P05_candidate,T03_latent_state_operator_proxy,-0.1474424065106316,0.1614594095381593,0.1024584315293486,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,04_grammar_plus_P01_P05_best
PARM_GSE301246_Task_C_stress_test,04_grammar_plus_P01_P05_candidate,T04_observable_alignment_proxy,-0.1539308803120251,0.1619152704627864,0.0940906561678189,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,04_grammar_plus_P01_P05_best
PARM_GSE301246_Task_C_stress_test,04_grammar_plus_P01_P05_candidate,T05_uncertainty_ensemble_proxy,-0.1458563130401315,0.1613477794152512,0.0931098457828759,32976.0,ALL_TRACKS_metrics_summary.csv,stress_test_boundary,boundary/stress-test branch,,04_grammar_plus_P01_P05_best
GSE221384_context_track,01_GC_length_only,M01_GC_length,-0.0934772049072243,1.896216713715393,1.629220282362712,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,,01_GC_length_only
GSE221384_context_track,02_GC_length_plus_6mer,M02_GC_length_char6,0.129254892851815,1.6921101268955785,1.4070285824072553,37500.0,ALL_TRACKS_metrics_summary.csv,exploratory_extra,external/context sequence-target branch,Closest available table is GC/length + 6-mer; a pure 6-mer-only row was not identified.,02_GC_length_plus_6mer
